book_id,tag_id,count,tag_name
1,30574,167697,to-read
1,11305,37174,fantasy
1,11557,34173,favorites
1,8717,12986,currently-reading
1,33114,12716,young-adult
1,11743,9954,fiction
2,30574,24549,to-read
2,8717,3516,currently-reading
2,11305,3441,fantasy
2,11557,3423,favorites
2,6857,1591,children
3,30574,496107,to-read
3,11557,48220,favorites
3,11305,47478,fantasy
3,8717,44640,currently-reading
5,11557,40087,favorites
5,11305,39330,fantasy
5,8717,17944,currently-reading
5,33114,12856,young-adult
5,30574,11909,to-read
5,11743,10656,fiction
5,14017,7607,harry-potter
5,5207,6640,books-i-own
5,22743,5164,owned
6,11305,38378,fantasy
6,33114,12979,young-adult
6,11743,10249,fiction
6,14017,7472,harry-potter
6,22743,4977,owned
6,32989,4383,ya
6,27199,4007,series
6,11590,3597,favourites
8,30574,2823,to-read
8,11557,144,favorites
8,11305,104,fantasy
10,30574,3226,to-read
10,11557,330,favorites
10,11305,253,fantasy
10,8717,127,currently-reading
11,30574,32303,to-read
11,8717,11955,currently-reading
11,26837,10977,science-fiction
11,11557,10173,favorites
11,26771,9773,sci-fi
11,11743,7012,fiction
11,15048,4397,humor
11,11305,3428,fantasy
11,7457,2829,classics
13,30574,75870,to-read
13,8717,8571,currently-reading
13,11557,3245,favorites
13,26837,2614,science-fiction
13,26771,2478,sci-fi
21,30574,33603,to-read
21,8717,12685,currently-reading
21,14552,3160,history
21,21773,1845,nonfiction
21,11557,1614,favorites
24,31155,2312,travel
24,21689,1971,non-fiction
24,8717,1558,currently-reading
24,30574,1009,to-read
24,21773,702,nonfiction
24,15048,572,humor
24,3461,395,australia
24,11557,366,favorites
24,19733,267,memoir
25,30574,816,to-read
25,15048,603,humor
25,21773,540,nonfiction
25,19733,354,memoir
25,10891,154,essays
25,21689,144,non-fiction
25,4605,138,biography
25,22743,115,owned
25,19742,107,memoirs
26,30574,27858,to-read
26,31155,1536,travel
26,21689,1104,non-fiction
26,8717,709,currently-reading
27,30574,31357,to-read
27,31155,1827,travel
27,21689,1120,non-fiction
27,8717,838,currently-reading
28,30574,35420,to-read
28,31155,2191,travel
28,21689,2006,non-fiction
28,8717,1916,currently-reading
29,30574,5492,to-read
29,8717,867,currently-reading
29,21689,410,non-fiction
30,30574,692,to-read
30,11743,322,fiction
30,7404,108,classic
30,11305,105,fantasy
30,27199,99,series
30,26785,96,sci-fi-fantasy
30,1691,92,adventure
30,10731,71,epic-fantasy
33,30574,116442,to-read
33,11305,13690,fantasy
33,8717,11180,currently-reading
33,11557,8090,favorites
33,7457,3904,classics
33,11743,3758,fiction
34,11305,31618,fantasy
34,30574,15494,to-read
34,7457,7966,classics
34,11743,7187,fiction
34,5207,2770,books-i-own
36,30574,3492,to-read
36,11305,104,fantasy
50,8717,2212,currently-reading
50,33114,2121,young-adult
50,11743,1587,fiction
50,1691,934,adventure
50,11557,890,favorites
50,30574,790,to-read
50,7457,735,classics
50,32989,691,ya
50,29045,642,survival
50,6953,610,childrens
50,25438,524,realistic-fiction
50,26735,472,school
50,6828,451,childhood
67,30574,8621,to-read
67,8717,824,currently-reading
67,14487,682,historical-fiction
67,24609,310,pulitzer
93,30574,27829,to-read
