book_id,authors,original_publication_year,original_title,language_code,tags,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
2767052,Suzanne Collins,2008.0,The Hunger Games,eng,"['favorites', 'currently-reading', 'young-adult', 'fiction', 'dystopian', 'to-read', 'dystopia', 'fantasy', 'ya', 'science-fiction', 'books-i-own', 'sci-fi']",66715,127936,560092,1481305,2706317,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg
3,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,eng,"['to-read', 'favorites', 'fantasy', 'currently-reading']",75504,101676,455024,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg
41865,Stephenie Meyer,2005.0,Twilight,en-US,"['young-adult', 'fantasy', 'favorites', 'vampires', 'ya', 'fiction', 'to-read', 'paranormal', 'books-i-own', 'vampire', 'twilight']",456191,436802,793319,875073,1355439,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg
2657,Harper Lee,1960.0,To Kill a Mockingbird,eng,"['classics', 'favorites', 'to-read', 'classic', 'historical-fiction', 'owned', 'school']",60427,117415,446835,1001952,1714267,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg
4671,F. Scott Fitzgerald,1925.0,The Great Gatsby,eng,"['classics', 'favorites', 'fiction', 'classic', 'books-i-own', 'owned', 'literature']",86236,197621,606158,936012,947718,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg
11870085,John Green,2012.0,The Fault in Our Stars,eng,"['favorites', 'to-read', 'young-adult', 'fiction', 'ya', 'romance', 'books-i-own', 'contemporary', 'owned']",47994,92723,327550,698471,1311871,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg
5907,J.R.R. Tolkien,1937.0,The Hobbit or There and Back Again,en-US,"['fantasy', 'favorites', 'classics', 'to-read', 'fiction', 'books-i-own']",46023,76784,288649,665635,1119718,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg
5107,J.D. Salinger,1951.0,The Catcher in the Rye,eng,"['classics', 'favorites', 'fiction', 'to-read', 'classic', 'young-adult', 'books-i-own', 'owned']",109383,185520,455042,661516,709176,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg
960,Dan Brown,2000.0,Angels & Demons ,en-CA,"['to-read', 'fiction', 'mystery', 'favorites', 'thriller', 'dan-brown', 'owned', 'books-i-own']",77841,145740,458429,716569,680175,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg
1885,Jane Austen,1813.0,Pride and Prejudice,eng,"['classics', 'favorites', 'fiction', 'romance', 'classic', 'books-i-own', 'owned']",54700,86485,284852,609755,1155673,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg
77203,Khaled Hosseini,2003.0,The Kite Runner ,eng,"['favorites', 'fiction', 'to-read', 'historical-fiction', 'books-i-own', 'owned', 'book-club']",34288,59980,226062,628174,929591,https://images.gr-assets.com/books/1484565687m/77203.jpg,https://images.gr-assets.com/books/1484565687s/77203.jpg
13335037,Veronica Roth,2011.0,Divergent,eng,"['favorites', 'currently-reading', 'to-read', 'young-adult', 'dystopian', 'ya', 'fiction', 'books-i-own', 'fantasy', 'science-fiction']",36315,82870,310297,673028,1114304,https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506s/13335037.jpg
5470,"George Orwell, Erich Fromm, Celâl Üster",1949.0,Nineteen Eighty-Four,eng,"['fiction', 'science-fiction', 'sci-fi', 'dystopian', 'classic', 'currently-reading', 'books-i-own', 'literature', 'favourites']",41845,86425,324874,692021,908229,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg
7613,George Orwell,1945.0,Animal Farm: A Fairy Story,eng,"['classics', 'fiction', 'favorites', 'classic', 'dystopia', 'fantasy', 'literature', 'owned']",66854,135147,433432,698642,648912,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542s/7613.jpg
48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,eng,"['non-fiction', 'classics', 'history', 'biography', 'to-read', 'nonfiction', 'memoir', 'young-adult', 'classic', 'historical']",45225,91270,355756,656870,875372,https://images.gr-assets.com/books/1358276407m/48855.jpg,https://images.gr-assets.com/books/1358276407s/48855.jpg
2429135,"Stieg Larsson, Reg Keeland",2005.0,Män som hatar kvinnor,eng,"['to-read', 'currently-reading']",54835,86051,285413,667485,836050,https://images.gr-assets.com/books/1327868566m/2429135.jpg,https://images.gr-assets.com/books/1327868566s/2429135.jpg
6148028,Suzanne Collins,2009.0,Catching Fire,eng,"['young-adult', 'dystopia', 'fantasy', 'sci-fi', 'to-read', 'series', 'owned', 'romance', 'favourites', 'adventure']",10492,48030,262010,687238,980309,https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780s/6148028.jpg
